projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,1033,97.483055,95.54695,95.837364,93.030014,93.32043,98.06389,32.33301,92.44917,21.97483,32.33301,98.06389,0,78.12197,19.554695,0
berkeleyparser,162,66.66667,92.59259,94.44444,59.25926,61.11111,80.24691,50,75.30865,34.5679,50,80.24691,0,82.09876,17.28395,0
cglib,12,41.666664,25,75,25,33.333336,75,66.66667,75,66.66667,66.66667,75,0,91.66667,8.333334,0
cloud9,572,78.67133,62.762238,68.35664,46.328674,51.923077,99.82517,96.15385,99.82517,95.27972,96.15385,99.82517,0,85.13986,10.664335,0
cocoon,3,100,100,100,100,100,66.66667,0,66.66667,0,0,66.66667,0,66.66667,33.333336,0
commons-io,43,100,88.37209,88.37209,88.37209,88.37209,76.74419,62.7907,74.4186,53.488373,62.7907,76.74419,0,100,0,0
dom4j,208,90.86539,31.730768,36.53846,28.365385,33.173077,68.269226,52.884613,64.42308,49.519234,52.884613,68.269226,0,92.78847,0.9615385,0
eclipse-ant,136,100,93.382355,93.382355,93.382355,93.382355,94.85294,21.323528,86.02941,12.5,21.323528,94.85294,0,94.117645,0,0
eclipse-jdtcore,4333,78.28294,88.57604,89.54535,67.41288,68.24371,46.68821,40.43388,78.30602,30.094624,40.43388,46.68821,0,85.89892,0.43849525,0
hadoop-hdfs,1788,38.08725,92.17002,92.281876,30.257269,30.369127,88.42281,65.827736,86.68903,63.982105,65.827736,88.42281,0,78.85906,21.08501,0
hadoop-mapred,77,97.402596,94.80519,98.7013,93.50649,96.1039,94.80519,48.05195,85.71429,48.05195,48.05195,94.80519,0,77.92207,7.7922077,0
hibernate,83,80.72289,97.59036,98.79518,79.518074,79.518074,84.33735,60.240967,74.69879,56.626503,60.240967,84.33735,0,85.54217,9.638554,0
httpclient,107,35.51402,89.71962,93.45795,25.233644,28.971962,38.317757,18.69159,38.317757,14.953271,18.69159,38.317757,0,95.3271,1.8691589,0
j2sdk1.4.0-javax-swing,8328,90.021614,78.21806,79.0706,76.06868,76.84919,69.212296,15.561959,56.892414,14.889529,15.561959,69.212296,0,97.20221,0.21613833,0
jfreechart,5700,97.77193,91.73684,97.210526,89.50877,94.98246,97.54386,31.070175,91.333336,22.842104,31.070175,97.54386,0,94.75439,3.9649122,0
junit,11,100,27.272728,27.272728,27.272728,27.272728,100,18.181818,100,18.181818,18.181818,100,0,100,0,0
log4j,21,80.952385,95.2381,95.2381,76.190475,76.190475,76.190475,28.57143,71.42857,23.809525,28.57143,76.190475,0,71.42857,9.523809,0
lucene,9,100,100,100,100,100,100,44.444447,88.88889,33.333336,44.444447,100,0,33.333336,55.555557,0
mahout-core,63,90.47619,82.53968,90.47619,74.60318,80.952385,85.71429,57.14286,84.12698,55.555557,57.14286,85.71429,0,93.650795,3.1746035,0
mason,333,88.88889,51.65165,62.46246,49.84985,51.35135,68.16817,54.35435,96.6967,52.85285,54.35435,68.16817,0,90.39039,0,0
netbeans-javadoc,14,92.85714,100,100,92.85714,92.85714,85.71429,64.28571,85.71429,50,64.28571,85.71429,0,50,0,0
nutch,19,78.94737,94.73685,94.73685,73.68421,73.68421,42.105263,31.578945,94.73685,26.31579,31.578945,42.105263,0,94.73685,0,0
pdfbox,18,50,88.88889,94.44444,38.88889,44.444447,72.22222,44.444447,72.22222,44.444447,44.444447,72.22222,0,77.77778,22.222223,0
pig,534,74.906364,85.20599,86.70412,60.11236,61.610485,97.19101,86.51685,96.62921,85.20599,86.51685,97.19101,0,87.64045,2.8089888,0
pmd,720,98.75,93.19444,96.80556,91.94444,95.55556,90.69444,12.222222,95.69444,10.694445,12.222222,90.69444,0,18.75,79.30556,0
poi,404,96.78218,98.26733,99.0099,95.04951,95.792076,99.25743,91.08911,96.78218,89.35644,91.08911,99.25743,0,95.297035,1.2376238,0
postgresql,42,76.190475,97.61904,100,73.809525,76.190475,95.2381,52.380955,73.809525,52.380955,52.380955,95.2381,0,97.61904,2.3809524,0
rhino,66,98.48485,63.636364,66.66667,62.121212,65.15151,100,59.090908,98.48485,53.0303,59.090908,100,0,83.33333,12.121212,0
stanford-nlp,308,90.58441,91.88312,94.80519,83.11688,86.038956,86.038956,37.01299,84.41559,30.51948,37.01299,86.038956,0,50.974022,35.064934,0
struts,861,98.83856,85.36585,85.94657,84.204414,84.78513,98.60627,22.996515,95.12195,14.75029,22.996515,98.60627,0,98.49013,0,0
substance,76,98.68421,92.10526,94.73685,90.789474,93.42105,96.05263,71.05263,82.89474,65.789474,71.05263,96.05263,0,68.42105,5.263158,0
synapse-core,109,82.56881,80.73394,99.08257,63.30275,81.651375,81.651375,21.100918,75.229355,16.513762,21.100918,81.651375,0,91.74312,5.504587,0
tomcat-catalina,626,81.78914,79.39297,82.428116,61.18211,64.217255,55.910545,26.837059,63.418533,23.961662,26.837059,55.910545,0,80.191696,0.4792332,0
uima-core,47,46.80851,97.87234,100,44.68085,46.80851,100,40.425533,55.31915,8.510638,40.425533,100,0,100,0,0
xerces,1090,61.559635,98.073395,99.54128,59.63303,61.100918,23.85321,17.33945,76.51376,10.366973,17.33945,23.85321,0,94.58715,2.5688074,0
Totall,27956,82.32,83.60,87.75,68.53,71.11,80.96,44.09,80.98,38.60,44.09,80.96,0.00,82.41,10.64,0.00
