projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
ant,1395,74.19355,80.9319,80.57348,55.125446,54.910393,76.344086,27.95699,76.200714,22.867384,27.95699,76.344086,1.6487455,77.77778,14.0501795,1.6487455
berkeleyparser,514,75.87549,57.7821,66.92607,53.696495,61.673153,66.342415,52.918285,66.536964,49.610893,52.918285,66.342415,0.38910505,74.31906,19.455252,0.38910505
cglib,46,30.434782,26.086956,52.173912,21.73913,23.913044,73.91304,69.565216,65.21739,54.347824,69.565216,73.91304,0,86.95652,8.695652,0
cloud9,1187,82.89806,60.909855,74.55771,50.71609,61.07835,98.56782,91.912384,96.79865,90.4802,91.912384,98.56782,2.021904,82.0556,9.182814,2.021904
cocoon,12,75,83.33333,91.66667,58.333332,66.66667,50,58.333332,66.66667,41.666664,58.333332,50,0,91.66667,8.333334,0
commons-io,55,89.090904,60.000004,81.818184,56.363636,78.18182,72.72727,63.636364,72.72727,58.181816,63.636364,72.72727,1.8181818,98.18182,0,1.8181818
dom4j,350,76.85715,52.571426,51.428574,32.285713,31.142859,55.142857,46,55.42857,44.285713,46,55.142857,1.1428571,87.71429,0.8571428,1.1428571
eclipse-ant,171,92.39766,56.725143,54.97076,49.707603,49.122807,89.47369,21.052631,87.13451,12.865498,21.052631,89.47369,0,87.7193,0.58479536,0
eclipse-jdtcore,11389,93.02836,90.306435,84.59039,83.72992,78.0051,35.288437,30.35385,85.13478,25.989992,30.35385,35.288437,0.03512161,79.190445,0.47414172,0.03512161
hadoop-hdfs,1438,94.36718,75.79972,76.28651,70.30598,70.79277,94.506256,30.945757,96.1057,27.329624,30.945757,94.506256,0,95.34075,3.4770515,0
hadoop-mapred,263,79.46768,77.56654,84.03042,61.977184,69.58175,76.80608,63.878326,77.94677,62.737644,63.878326,76.80608,3.041825,80.228134,8.365019,3.041825
hibernate,182,86.26373,81.31868,90.65934,70.87912,78.57143,80.21978,67.58241,82.41759,58.24176,67.58241,80.21978,1.6483518,74.72527,7.1428576,1.6483518
httpclient,100,70,85,91,55,61,71,51,71,47,51,71,0,74,6,0
j2sdk1.4.0-javax-swing,5414,31.972664,89.305504,78.68489,21.64758,17.436275,28.851128,10.712966,28.666422,9.9372,10.712966,28.851128,8.755079,61.433323,1.4776505,8.755079
jfreechart,26697,99.37446,40.783607,41.532757,40.24422,40.985878,99.018616,25.216316,99.337006,22.455708,25.216316,99.018616,0.018728696,98.27321,1.2098738,0.018728696
junit,16,93.75,50,50,43.75,43.75,100,43.75,100,43.75,43.75,100,6.25,68.75,12.5,6.25
log4j,57,94.73685,80.70176,85.96491,77.19298,80.70176,92.98246,24.561403,47.368423,21.052631,24.561403,92.98246,0,35.08772,3.508772,0
lucene,43,81.39535,88.37209,88.37209,69.76744,69.76744,69.76744,65.11628,72.093025,58.139534,65.11628,69.76744,2.3255813,55.813957,6.9767447,2.3255813
mahout-core,290,95.86207,87.93104,95.51724,84.13793,91.72414,95.17241,91.37931,94.82758,88.62069,91.37931,95.17241,0.3448276,84.13793,8.965518,0.3448276
mason,886,66.47855,57.562077,50.677197,48.19413,45.14673,55.079006,54.28894,89.16479,40.180588,54.28894,55.079006,0,69.413086,0.11286682,0
netbeans-javadoc,42,95.2381,100,100,95.2381,95.2381,92.85714,83.33333,92.85714,71.42857,83.33333,92.85714,0,69.047615,11.904762,0
nutch,47,70.21276,93.61702,93.61702,65.95744,65.95744,46.80851,23.404255,85.106384,10.638298,23.404255,46.80851,0,100,0,0
pdfbox,58,62.068962,89.655174,96.55172,51.724136,58.62069,68.965515,56.89655,68.965515,55.172413,56.89655,68.965515,0,75.86207,20.689655,0
pig,2651,53.48925,94.568085,95.2848,48.1705,48.88721,93.47416,91.13542,94.30404,90.192375,91.13542,93.47416,0.15088646,87.891365,1.4334214,0.15088646
pmd,3746,99.75974,97.490654,98.47838,97.30379,98.26482,34.036304,4.885211,88.441,3.8707957,4.885211,34.036304,0.026695142,21.169247,78.563805,0.026695142
poi,1194,98.408714,97.487434,97.82245,96.984924,97.31993,94.556114,94.807365,97.06868,91.9598,94.807365,94.556114,0,96.733665,0.67001677,0
postgresql,81,85.18519,60.493828,92.59259,45.679012,77.77778,93.827156,75.30865,93.827156,74.07407,75.30865,93.827156,0,95.06173,2.4691358,0
rhino,153,90.84967,77.12418,85.62092,70.588234,77.77778,90.196075,72.54902,91.503265,57.516342,72.54902,90.196075,1.3071896,67.97386,16.33987,1.3071896
stanford-nlp,1126,89.78686,86.323265,90.49733,80.994675,84.724686,80.19538,45.64831,87.83304,41.563053,45.64831,80.19538,1.8650088,38.898758,50.62167,1.8650088
struts,1413,99.07997,26.114649,26.043877,25.194622,25.12385,53.43241,25.336164,51.450813,21.58528,25.336164,53.43241,0,99.22151,0,0
substance,201,95.02488,72.139305,87.064674,72.139305,82.58707,90.547264,54.228855,67.16418,53.233833,54.228855,90.547264,2.4875622,62.68657,9.452736,2.4875622
synapse-core,236,88.559326,72.45763,95.76271,61.864407,84.32204,85.593216,30.508474,66.52542,27.542374,30.508474,85.593216,2.1186442,66.94915,19.915255,2.1186442
tomcat-catalina,1234,54.61913,86.466774,87.682335,42.22042,43.11183,42.54457,14.424636,44.97569,11.02107,14.424636,42.54457,0.081037275,96.029175,0.24311183,0.081037275
uima-core,288,55.555557,56.59722,99.30556,12.152778,54.86111,98.26389,90.97222,98.61111,49.305553,90.97222,98.26389,0,98.61111,0,0
xerces,650,68.769226,86.769226,96.92308,56.153847,66.46154,44.153847,30.307692,60.46154,27.076923,30.307692,44.153847,0,88.46153,1.6923077,0
Total,63625,79.72,73.72,80.42,57.92,63.86,74.02,50.97,77.71,44.74,50.97,74.02,1.07,77.93,9.58,1.07
