projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
80_wheelwebtool,30,26.666668,100,100,26.666668,26.666668,16.666668,6.666667,26.666668,3.3333335,6.666667,16.666668,0,100,0,0
81_javathena,3,100,66.66667,66.66667,66.66667,66.66667,100,66.66667,100,66.66667,66.66667,100,0,100,0,0
82_ipcalculator,5,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0
83_xbus,24,66.66667,95.83333,100,62.5,66.66667,83.33333,50,75,29.166666,50,83.33333,0,75,16.666668,0
85_shop,30,50,96.666664,96.666664,46.666668,46.666668,76.666664,40,50,40,40,76.666664,0,100,0,0
86_at-robots2-j,10,100,90,90,90,90,60.000004,60.000004,50,30.000002,60.000004,60.000004,0,100,0,0
87_jaw-br,5,100,100,100,100,100,100,20,100,20,20,100,0,80,20,0
88_jopenchart,1,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
89_jiggler,489,79.345604,58.486706,80.5726,54.805725,68.30266,59.304703,56.03272,69.529655,54.396732,56.03272,59.304703,0,69.938644,0.40899795,0
91_classviewer,1,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
92_jcvi-javacommon,236,66.94915,81.779655,91.94915,54.23729,61.440678,96.18644,90.254234,96.61017,90.254234,90.254234,96.18644,0,91.94915,5.9322033,0
93_quickserver,16,100,87.5,100,87.5,100,100,43.75,100,25,43.75,100,0,81.25,18.75,0
96_heal,25,100,68,84,68,84,100,44,88,40,44,100,0,100,0,0
99_newzgrabber,1,100,100,100,100,100,100,0,0,0,0,100,0,100,0,0
101_netweaver,127,93.70078,100,100,93.70078,93.70078,94.48819,93.70078,94.48819,93.70078,93.70078,94.48819,0,100,0,0
102_squirrel-sql,839,99.52324,96.30512,96.5435,95.82837,96.06675,96.90107,41.59714,96.6627,39.809296,41.59714,96.90107,0,86.293205,7.2705603,0
103_sweethome3d,3201,98.3755,56.63855,56.888474,55.014057,55.263977,99.0628,27.49141,98.96907,18.056858,27.49141,99.0628,0,97.03218,2.749141,0
104_vuze,2352,77.168365,52.338432,53.401363,35.03401,36.011906,82.65306,47.491497,78.69898,42.81463,47.491497,82.65306,0,94.047615,1.0204082,0
105_freemind,121,68.59504,98.34711,98.34711,66.94215,66.94215,80.16529,40.495865,73.55372,37.190083,40.495865,80.16529,0,44.628098,46.28099,0
106_checkstyle,25,96,76,76,72,72,96,76,92,76,76,96,0,92,4,0
107_weka,914,97.592995,78.99343,79.21226,76.69584,76.80525,89.38731,59.409187,85.44858,57.439827,59.409187,89.38731,0,72.42888,17.177244,0
109_pdfsam,154,69.48052,98.7013,99.35065,68.181816,68.83117,97.402596,89.61039,97.402596,87.66234,89.61039,97.402596,0,87.012985,10.38961,0
110_firebird,139,99.28058,53.956837,66.90648,53.237408,66.18705,88.48921,48.20144,87.05036,38.848923,48.20144,88.48921,0,91.366905,2.1582735,0
Total,23481,81.47139124,81.94558001,87.24230418,64.91465803,69.05884421,79.64393608,49.19969147,76.36059005,40.05713501,49.19969147,79.64393608,0,78.89827772,15.37126209,0
