projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
71_ext4j,2,100,100,100,100,100,100,50,100,50,50,100,0,50,0,0
73_fim1,46,91.30435,93.478264,93.478264,91.30435,91.30435,95.652176,6.521739,84.78261,2.173913,6.521739,95.652176,0,6.521739,93.478264,0
74_fixsuite,5,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
75_openhre,33,100,84.84849,96.969696,84.84849,96.969696,96.969696,75.757576,93.93939,72.72727,75.757576,96.969696,0,81.818184,18.181818,0
78_caloriecount,114,92.98246,78.94737,84.210526,72.80702,78.070175,76.31579,67.54386,77.19298,63.15789,67.54386,76.31579,11.403508,68.42105,4.385965,11.403508
79_twfbplayer,8,100,100,100,100,100,37.5,25,62.5,25,25,37.5,0,75,12.5,0
80_wheelwebtool,1478,98.71448,96.82003,97.631935,96.278755,96.34641,4.668471,35.79161,62.31394,16.102842,35.79161,4.668471,0,99.93234,0,0
81_javathena,2,100,50,100,50,100,100,100,100,100,100,100,0,100,0,0
82_ipcalculator,7,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0
83_xbus,36,69.44444,100,100,69.44444,69.44444,88.88889,36.11111,91.66667,30.555555,36.11111,88.88889,0,97.22222,2.777778,0
85_shop,29,86.206894,93.10345,93.10345,79.31035,79.31035,48.27586,41.37931,58.62069,41.37931,41.37931,48.27586,0,100,0,0
86_at-robots2-j,33,78.78788,93.93939,93.93939,72.72727,72.72727,48.484848,21.212122,39.39394,12.121212,21.212122,48.484848,3.030303,90.909096,3.030303,3.030303
87_jaw-br,4,75,100,100,75,75,100,100,100,100,100,100,0,75,25,0
88_jopenchart,3,100,33.333336,33.333336,33.333336,33.333336,100,66.66667,100,66.66667,66.66667,100,0,100,0,0
89_jiggler,386,64.766846,61.398964,76.943,56.735756,62.176167,47.92746,42.22798,62.95337,35.751297,42.22798,47.92746,0.5181347,83.93782,1.5544041,0.5181347
92_jcvi-javacommon,792,87.5,85.606064,88.88889,81.43939,84.090904,89.26768,87.752525,89.14142,87.62626,87.752525,89.26768,0.25252524,97.22222,1.6414142,0.25252524
93_quickserver,23,100,95.652176,86.95652,95.652176,86.95652,100,56.521736,100,52.173912,56.521736,100,8.695652,60.869564,17.391304,8.695652
95_celwars2009,2,100,100,100,100,100,100,100,100,100,100,100,0,50,50,0
96_heal,48,95.83333,91.66667,100,87.5,95.83333,81.25,35.416664,75,33.333336,35.416664,81.25,0,79.16667,20.833332,0
97_feudalismgame,8,87.5,87.5,87.5,75,75,62.5,12.5,75,12.5,12.5,62.5,0,100,0,0
99_newzgrabber,4,100,100,100,100,100,75,0,75,0,0,75,0,100,0,0
100_jgaap,1,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0
101_netweaver,2283,77.79237,98.598335,99.78099,76.52212,77.70477,86.24617,75.51467,82.6106,75.33947,75.51467,86.24617,0,99.8686,0.08760403,0
102_squirrel-sql,992,97.17742,83.97177,84.47581,81.95565,82.35887,93.75,60.8871,92.439514,60.28226,60.8871,93.75,0.30241933,86.088715,13.104838,0.30241933
103_sweethome3d,2653,86.1666,51.677345,52.845837,37.91934,39.050133,90.01131,20.316624,92.72522,15.228044,20.316624,90.01131,15.604976,72.97399,4.5608745,15.604976
104_vuze,3308,78.990326,53.99033,56.408703,35.157196,37.182587,64.207985,42.623943,65.41717,38.11971,42.623943,64.207985,2.5997581,84.0387,1.6928658,2.5997581
105_freemind,390,47.435898,97.17948,98.97436,46.410255,46.666668,40.51282,45.128204,46.153847,38.46154,45.128204,40.51282,4.871795,57.4359,31.538464,4.871795
106_checkstyle,63,98.4127,100,100,98.4127,98.4127,98.4127,98.4127,100,98.4127,98.4127,98.4127,0,93.650795,6.349207,0
107_weka,2163,97.50346,83.49515,86.54646,81.96949,84.09616,91.123436,72.16828,84.74341,71.38234,72.16828,91.123436,0.46232086,77.346275,4.6694407,0.46232086
109_pdfsam,89,88.764046,95.505615,98.8764,84.26966,87.64045,85.39326,67.41573,92.134834,60.674156,67.41573,85.39326,16.853933,61.79775,17.977528,16.853933
110_firebird,3031,99.04322,93.500496,95.381065,92.74167,94.424286,16.265259,30.451996,56.02111,11.778292,30.451996,16.265259,0,99.93402,0,0
Total,28603,83.35,84.58,87.91,71.37,73.60,73.79,53.00,79.09,48.07,53.00,73.79,1.18,75.95,16.30,1.18
